model,condition,n,UNS_mean,UNS_std,overlap_rate,match_rate,underrated_pct_mean,parse_error_rate
gpt-4.1,anti_consensus,18,0.6305329308074946,0.18661438631265354,0.0,0.7777777777777778,0.4939991374446313,0.0
gpt-4.1,anti_consensus_reasoned,18,0.7135811729807803,0.23602417549867505,0.0,0.7222222222222222,0.7236488607248777,0.0
gpt-4.1,baseline,18,0.7175749031593474,0.1654727673287912,0.0,0.8888888888888888,0.5954529434237763,0.0
gpt-5,anti_consensus,18,0.4212457112694643,0.09013791905861772,0.0,0.05555555555555555,0.6373713380839272,1.0
gpt-5,anti_consensus_reasoned,18,0.4,0.0,0.0,0.0,,1.0
gpt-5,baseline,18,0.6012727628814316,0.1741634188911455,0.0,0.6666666666666666,0.5031819072035789,0.16666666666666666
